file,cluster,tsne_x,tsne_y
original_0,0,-89.86303,-540.7486
original_1,1,-616.4953,189.7068
original_10,0,-89.86303,-540.7486
original_11,2,402.6973,209.0582
original_12,1,-616.4953,189.7068
original_13,3,335.42993,-660.4864
original_14,4,676.855,-252.8777
original_15,0,-89.86303,-540.7486
original_16,0,202.28123,629.66504
original_17,5,-367.9372,623.1977
original_18,6,-459.60864,-346.444
original_19,3,335.42993,-660.4864
original_2,0,202.28123,629.66504
original_20,2,422.32053,333.3735
original_21,1,-616.4953,189.7068
original_22,0,80.254715,-98.92037
original_23,2,422.32053,333.3735
original_24,2,752.1651,220.05356
original_25,5,-367.9372,623.1977
original_26,3,335.42993,-660.4864
original_27,1,-616.4953,189.7068
original_28,0,202.28123,629.66504
original_29,0,80.254715,-98.92037
original_3,6,-459.60864,-346.444
original_30,0,80.254715,-98.92037
original_31,7,-4.2120585,279.62292
original_4,6,-459.60864,-346.444
original_5,7,-4.2120585,279.62292
original_6,7,-4.2120585,279.62292
original_7,6,-459.60864,-346.444
original_8,0,80.254715,-98.92037
original_9,7,-4.2120585,279.62292
plagiarized_0,0,306.2257,-88.85005
plagiarized_1,1,-447.53174,21.214127
plagiarized_10,0,383.74228,-152.47432
plagiarized_11,2,547.8842,607.4355
plagiarized_12,1,-358.89093,90.842865
plagiarized_13,3,205.49117,-412.28375
plagiarized_15,0,34.032284,-335.88168
plagiarized_18,6,-782.1588,-153.37167
plagiarized_19,3,306.61102,-388.20465
plagiarized_2,0,383.74228,-152.47432
plagiarized_20,2,402.6973,209.0582
plagiarized_21,1,-294.66153,42.87601
plagiarized_22,0,-111.41978,-142.62732
plagiarized_25,5,397.31293,806.7038
plagiarized_26,3,306.61102,-388.20465
plagiarized_27,1,-447.53174,21.214127
plagiarized_29,0,-156.67966,-63.416527
plagiarized_3,6,-782.1588,-153.37167
plagiarized_30,0,80.254715,-98.92037
plagiarized_31,7,-4.2120585,279.62292
plagiarized_5,7,-284.73926,281.46918
plagiarized_6,7,-284.73926,281.46918
plagiarized_7,6,-821.3169,-72.36033
plagiarized_9,7,131.3262,386.8363
unrelated_a_0,5,-367.9372,623.1977
unrelated_a_1,5,-367.9372,623.1977
unrelated_a_10,4,676.855,-252.8777
unrelated_a_11,2,752.1651,220.05356
unrelated_a_12,2,402.6973,209.0582
unrelated_a_13,7,-4.2120585,279.62292
unrelated_a_14,2,752.1651,220.05356
unrelated_a_15,5,-367.9372,623.1977
unrelated_a_16,7,-4.2120585,279.62292
unrelated_a_17,6,-459.60864,-346.444
unrelated_a_18,4,676.855,-252.8777
unrelated_a_19,2,402.6973,209.0582
unrelated_a_2,6,-459.60864,-346.444
unrelated_a_20,0,80.254715,-98.92037
unrelated_a_21,5,-367.9372,623.1977
unrelated_a_22,3,335.42993,-660.4864
unrelated_a_23,0,80.254715,-98.92037
unrelated_a_24,3,335.42993,-660.4864
unrelated_a_25,0,-89.86303,-540.7486
unrelated_a_26,7,6.9147797,473.2015
unrelated_a_27,0,-89.86303,-540.7486
unrelated_a_28,6,-459.60864,-346.444
unrelated_a_29,7,131.3262,386.8363
unrelated_a_3,6,-459.60864,-346.444
unrelated_a_30,3,335.42993,-660.4864
unrelated_a_31,5,-367.9372,623.1977
unrelated_a_4,4,676.855,-252.8777
unrelated_a_5,2,752.1651,220.05356
unrelated_a_6,2,752.1651,220.05356
unrelated_a_7,7,-102.41739,415.58746
unrelated_a_8,7,131.3262,386.8363
unrelated_a_9,4,676.855,-252.8777
unrelated_b_0,4,676.855,-252.8777
unrelated_b_1,0,80.254715,-98.92037
unrelated_b_10,6,-459.60864,-346.444
unrelated_b_11,0,-89.86303,-540.7486
unrelated_b_12,6,-459.60864,-346.444
unrelated_b_13,1,-616.4953,189.7068
unrelated_b_14,5,-367.9372,623.1977
unrelated_b_15,3,335.42993,-660.4864
unrelated_b_16,5,-367.9372,623.1977
unrelated_b_17,5,-367.9372,623.1977
unrelated_b_18,6,-459.60864,-346.444
unrelated_b_19,3,335.42993,-660.4864
unrelated_b_2,1,-616.4953,189.7068
unrelated_b_20,6,-459.60864,-346.444
unrelated_b_21,0,-89.86303,-540.7486
unrelated_b_22,5,-367.9372,623.1977
unrelated_b_23,2,402.6973,209.0582
unrelated_b_24,7,-4.2120585,279.62292
unrelated_b_25,6,-459.60864,-346.444
unrelated_b_26,0,80.254715,-98.92037
unrelated_b_27,6,-459.60864,-346.444
unrelated_b_28,2,752.1651,220.05356
unrelated_b_29,2,752.1651,220.05356
unrelated_b_3,5,-367.9372,623.1977
unrelated_b_30,2,752.1651,220.05356
unrelated_b_31,7,-4.2120585,279.62292
unrelated_b_4,6,-606.26227,-462.411
unrelated_b_5,4,676.855,-252.8777
unrelated_b_6,3,335.42993,-660.4864
unrelated_b_7,4,676.855,-252.8777
unrelated_b_8,3,335.42993,-660.4864
unrelated_b_9,5,-367.9372,623.1977
