,information_gain
canonical_similarity,0.57349776881048
node_hist_l2,0.2957199910327022
node_hist_l1,0.27475089375038364
node_cosine,0.27197685291399826
node_diff_AugAssign,0.2719768529139982
ident_total_ratio,0.25145254538177714
loc_sum,0.23810793766750865
loc_diff,0.23622806186391632
node_total_diff,0.2304834480994586
node_total_ratio,0.22654707448622824
node_diff_Assign,0.21747292929541373
loc_ratio,0.21292971349530987
node_diff_Add,0.21168613499924982
canonical_length_diff,0.20280393636752425
node_diff_Store,0.20002989553113887
ident_total_diff,0.18067250630836074
node_diff_Name,0.18067250630836074
ident_jaccard,0.17448310279380552
canonical_length_ratio,0.1636397826392726
avg_cc_ratio,0.10562084628234225
node_diff_Constant,0.10233961331925923
subtree_diff_count,0.09659007266184982
ident_diff_i,0.07325902357761915
ident_diff_result,0.07305756459298052
import_jaccard,0.07305756459298052
node_unique_diff,0.07278022578373267
avg_cc_diff,0.07128723120011393
import_overlap,0.06700388822431413
ident_diff_math,0.06700388822431413
ident_diff_factorial,0.06700388822431413
ident_diff_x,0.06700388822431413
ident_diff_j,0.06700388822431413
node_diff_Import,0.06700388822431413
ident_diff_ttl,0.06606522580151863
node_diff_Load,0.05689441865232436
ident_diff_count,0.051811128501414005
ident_overlap,0.051697000558090234
node_diff_Call,0.04918557690560266
ident_diff_sum,0.045782930753739404
node_diff_alias,0.043736922290314784
import_diff_count,0.043736922290314784
ident_diff_range,0.03782519894536107
node_diff_BinOp,0.029790366672656443
max_cc_diff,0.02529394954632458
ident_diff_ft,0.013370700763309706
ident_diff_n,0.009548455093403296
ident_diff_map,0.009548455093403296
node_diff_Eq,0.009548455093403296
ident_diff_process,0.009548455093403296
node_diff_arguments,0.007367060844443274
ident_diff_even_factorial,0.002719979996643529
ident_diff_factorial_sum,0.002719979996643529
ident_diff_rst,0.002719979996643529
ident_diff_reduce,0.002719979996643529
ident_diff_total,0.002719979996643529
node_diff_Compare,0.0019039637535901432
node_diff_Return,0.0017945811947335244
node_diff_arg,0.0010776273447120621
node_diff_FunctionDef,0.0
node_diff_Module,0.0
node_diff_Expr,0.0
subtree_overlap,0.0
subtree_jaccard,0.0
node_diff_Mod,0.0
ident_diff_print,0.0
avg_func_args_diff,0.0
func_count_ratio,0.0
func_count_diff,0.0
avg_func_args_ratio,0.0
