iteration,feature,information_gain,f1_score
1,canonical_similarity,0.57349776881048,1.0
2,node_hist_l2,0.2957199910327022,1.0
3,node_hist_l1,0.27475089375038364,0.8888888888888888
4,node_cosine,0.27197685291399826,1.0
5,node_diff_AugAssign,0.2719768529139982,0.8888888888888888
6,ident_total_ratio,0.25145254538177714,0.8888888888888888
7,loc_diff,0.23622806186391632,0.8888888888888888
8,node_total_ratio,0.22654707448622824,0.7777777777777777
9,loc_sum,0.23810793766750865,0.8888888888888888
10,node_diff_Assign,0.21747292929541373,0.8888888888888888
