file1,file2,heuristic,loc_diff,import_sim,node_sim,subtree_sim,canon_sim,func_diff,cc_diff
my_code.json,my_code2.json,0.2107,0.0714,1.0,1.0,0.0,1.0,0.0,0.0
my_code7.json,my_code8.json,0.2764,0.0,1.0,0.9811,0.0,0.758,0.5,0.6667
my_code3.json,my_code7.json,0.2941,0.1818,1.0,0.9901,0.0,0.7838,0.5,0.6667
my_code3.json,my_code8.json,0.3062,0.1818,1.0,0.9828,0.0,0.7483,0.0,0.0
my_code3.json,my_code6.json,0.3345,0.4,1.0,0.9865,0.0,0.7607,0.5,0.3333
my_code4.json,my_code7.json,0.3375,0.2143,1.0,0.9441,0.0,0.6862,0.5,0.6667
my_code3.json,my_code4.json,0.3578,0.3571,1.0,0.9629,0.0,0.6773,0.0,0.0
my_code3.json,my_code9.json,0.3716,0.1,0.5,0.9828,0.0,0.7395,0.0,0.3333
my_code7.json,my_code9.json,0.3824,0.0909,0.5,0.9867,0.0,0.6962,0.5,0.5
my_code8.json,my_code9.json,0.3919,0.0909,0.5,0.9808,0.0,0.6687,0.0,0.3333
